species_code,year,length,frequency,fmp_subarea,source
350,2021,38,1,AI,AI fishery
350,2021,28,1,AI,AI fishery
350,2021,36,1,AI,AI fishery
350,2021,40,1,AI,AI fishery
350,2021,26,1,AI,AI fishery
350,2021,27,1,AI,AI fishery
350,2021,29,1,AI,AI fishery
350,2021,62,1,AI,AI fishery
350,2021,40,1,AI,AI fishery
350,2021,47,1,AI,AI fishery
350,2021,50,1,AI,AI fishery
350,2021,52,1,AI,AI fishery
350,2021,33,1,AI,AI fishery
350,2011,36,1,EBS,EBS fishery
350,2011,39,1,EBS,EBS fishery
350,2011,40,1,EBS,EBS fishery
350,2011,41,1,EBS,EBS fishery
350,2011,42,1,EBS,EBS fishery
350,2011,43,1,EBS,EBS fishery
350,2011,46,1,EBS,EBS fishery
350,2011,47,1,EBS,EBS fishery
350,2011,31,1,EBS,EBS fishery
350,2011,38,1,EBS,EBS fishery
350,2011,41,2,EBS,EBS fishery
350,2011,42,1,EBS,EBS fishery
350,2011,46,2,EBS,EBS fishery
350,2011,48,1,EBS,EBS fishery
350,2011,17,1,EBS,EBS fishery
350,2011,28,2,EBS,EBS fishery
350,2011,29,2,EBS,EBS fishery
350,2011,32,2,EBS,EBS fishery
350,2011,33,1,EBS,EBS fishery
350,2016,63,1,AI,AI fishery
350,2016,54,1,AI,AI fishery
350,2016,47,2,AI,AI fishery
350,2016,43,1,AI,AI fishery
350,2016,45,2,AI,AI fishery
350,2016,49,1,AI,AI fishery
350,2016,37,1,AI,AI fishery
350,2016,33,1,AI,AI fishery
350,2016,60,1,AI,AI fishery
350,2016,48,1,AI,AI fishery
350,2016,51,1,AI,AI fishery
350,2016,55,1,AI,AI fishery
350,2016,44,1,AI,AI fishery
350,2016,54,1,AI,AI fishery
350,2016,52,1,AI,AI fishery
350,2016,35,1,AI,AI fishery
350,2016,41,1,AI,AI fishery
350,2016,42,2,AI,AI fishery
350,2016,57,1,AI,AI fishery
350,2016,46,1,AI,AI fishery
350,2016,47,2,AI,AI fishery
350,2016,62,1,AI,AI fishery
350,2016,53,1,AI,AI fishery
350,2016,60,1,AI,AI fishery
350,2016,58,1,AI,AI fishery
350,2016,48,1,AI,AI fishery
350,2016,46,1,AI,AI fishery
350,2016,44,1,AI,AI fishery
350,2016,47,1,AI,AI fishery
350,2016,59,1,AI,AI fishery
350,2016,42,1,AI,AI fishery
350,2016,75,1,AI,AI fishery
350,2016,55,1,AI,AI fishery
350,2016,49,1,AI,AI fishery
350,2016,64,1,AI,AI fishery
350,2016,59,1,AI,AI fishery
350,2016,47,1,AI,AI fishery
350,2016,48,1,AI,AI fishery
350,2016,53,1,AI,AI fishery
350,2016,55,2,AI,AI fishery
350,2016,53,1,AI,AI fishery
350,2016,45,4,AI,AI fishery
350,2016,48,2,AI,AI fishery
350,2016,47,2,AI,AI fishery
350,2016,51,2,AI,AI fishery
350,2016,52,2,AI,AI fishery
350,2016,46,1,AI,AI fishery
350,2016,49,3,AI,AI fishery
350,2016,42,1,AI,AI fishery
350,2016,52,1,AI,AI fishery
350,2016,52,2,AI,AI fishery
350,2016,49,2,AI,AI fishery
350,2016,54,1,AI,AI fishery
350,2016,43,1,AI,AI fishery
350,2016,41,1,AI,AI fishery
350,2016,45,1,AI,AI fishery
350,2016,42,2,AI,AI fishery
350,2016,44,1,AI,AI fishery
350,2016,46,1,AI,AI fishery
350,2016,38,1,AI,AI fishery
350,2016,34,1,AI,AI fishery
350,2016,44,1,AI,AI fishery
350,2016,53,1,AI,AI fishery
350,2016,49,1,AI,AI fishery
350,2016,61,1,AI,AI fishery
350,2016,59,1,AI,AI fishery
350,2016,55,1,AI,AI fishery
350,2016,50,1,AI,AI fishery
350,2016,58,1,AI,AI fishery
350,2016,47,1,AI,AI fishery
350,2016,41,1,AI,AI fishery
350,2016,52,1,AI,AI fishery
350,2016,51,1,AI,AI fishery
350,2016,46,1,AI,AI fishery
350,2016,52,1,AI,AI fishery
350,2016,67,1,AI,AI fishery
350,2016,43,1,AI,AI fishery
350,2016,51,2,AI,AI fishery
350,2016,46,1,AI,AI fishery
350,2016,43,2,AI,AI fishery
350,2016,42,1,AI,AI fishery
350,2016,54,1,AI,AI fishery
350,2016,56,1,AI,AI fishery
350,2016,74,1,AI,AI fishery
350,2016,66,1,AI,AI fishery
350,2016,59,2,AI,AI fishery
350,2016,52,2,AI,AI fishery
350,2016,50,1,AI,AI fishery
350,2016,57,1,AI,AI fishery
350,2016,53,1,AI,AI fishery
350,2016,54,1,AI,AI fishery
350,2016,64,1,AI,AI fishery
350,2016,55,1,AI,AI fishery
