year,fmp_subarea,prop_sst
2003,AI,0.7299323684987991
2003,EBS,0.9133011861451679
2004,AI,0.6195245605776277
2004,EBS,0.9269236829799843
2005,AI,0.6898266102181908
2005,EBS,0.8664556095509665
2006,AI,0.7492348709338703
2006,EBS,0.954293269616654
2007,AI,0.8826422897053379
2007,EBS,0.9699038445708419
2008,AI,0.9324953502058252
2008,EBS,0.9603116358202918
2009,AI,0.9235504438134641
2009,EBS,0.9941714135208413
2010,AI,0.9121904972463909
2010,EBS,0.9655961326736646
2011,AI,0.9344112550540474
2011,EBS,0.9934372945440206
2012,AI,0.9843788235252439
2012,EBS,0.9341107701279308
2013,AI,0.9799282963725788
2013,EBS,0.9793638242055568
2014,AI,0.9584846179157103
2014,EBS,0.9864957397678064
2015,AI,0.9810359377467707
2015,EBS,0.97763291969053
2016,AI,0.9997303004581326
2016,EBS,0.9570693720113391
2017,AI,0.9924569006409404
2017,EBS,0.9950769064865504
2018,AI,0.9859853963839567
2018,EBS,0.9955356890747137
2019,AI,0.9999621400642115
2019,EBS,0.9968040653686014
2020,AI,0.9992602701303792
2020,EBS,0.9984507614942577
2021,AI,0.9647398182634213
2021,EBS,0.9997780997511323
2022,AI,0.9997900001070953
2022,EBS,0.9980295223107827
2023,AI,0.9997810041543512
2023,EBS,0.9999099966031363
2024,AI,1
2024,EBS,0.9999969359840081
