year,area,complex,name,value
2007,BSAI,Other rockfish,ofl,1330
2007,BSAI,Other rockfish,abc,999
2007,BSAI,Other rockfish,tac,999
2007,AI,Other rockfish,ofl,NA
2007,AI,Other rockfish,abc,585
2007,AI,Other rockfish,tac,585
2007,BS,Other rockfish,ofl,NA
2007,BS,Other rockfish,abc,414
2007,BS,Other rockfish,tac,414
2008,BS,Other rockfish,ofl,NA
2008,BS,Other rockfish,abc,414
2008,BS,Other rockfish,tac,414
2008,BSAI,Other rockfish,ofl,1330
2008,BSAI,Other rockfish,abc,999
2008,BSAI,Other rockfish,tac,999
2008,AI,Other rockfish,ofl,NA
2008,AI,Other rockfish,abc,585
2008,AI,Other rockfish,tac,585
2009,BS,Other rockfish,ofl,NA
2009,BS,Other rockfish,abc,485
2009,BS,Other rockfish,tac,485
2009,AI,Other rockfish,ofl,NA
2009,AI,Other rockfish,abc,555
2009,AI,Other rockfish,tac,555
2009,BSAI,Other rockfish,ofl,1380
2009,BSAI,Other rockfish,abc,1040
2009,BSAI,Other rockfish,tac,1040
2010,BS,Other rockfish,ofl,NA
2010,BS,Other rockfish,abc,485
2010,BS,Other rockfish,tac,485
2010,AI,Other rockfish,ofl,NA
2010,AI,Other rockfish,abc,555
2010,AI,Other rockfish,tac,555
2010,BSAI,Other rockfish,ofl,1380
2010,BSAI,Other rockfish,abc,1050
2010,BSAI,Other rockfish,tac,1050
2011,AI,Other rockfish,ofl,NA
2011,AI,Other rockfish,abc,570
2011,AI,Other rockfish,tac,500
2011,BS,Other rockfish,ofl,NA
2011,BS,Other rockfish,abc,710
2011,BS,Other rockfish,tac,500
2011,BSAI,Other rockfish,ofl,1700
2011,BSAI,Other rockfish,abc,1280
2011,BSAI,Other rockfish,tac,1000
2012,AI,Other rockfish,ofl,NA
2012,AI,Other rockfish,abc,570
2012,AI,Other rockfish,tac,570
2012,BSAI,Other rockfish,ofl,1700
2012,BSAI,Other rockfish,abc,1280
2012,BSAI,Other rockfish,tac,1070
2012,BS,Other rockfish,ofl,NA
2012,BS,Other rockfish,abc,710
2012,BS,Other rockfish,tac,500
2013,AI,Other rockfish,ofl,NA
2013,AI,Other rockfish,abc,473
2013,AI,Other rockfish,tac,473
2013,BSAI,Other rockfish,ofl,1540
2013,BSAI,Other rockfish,abc,1159
2013,BSAI,Other rockfish,tac,873
2013,BS,Other rockfish,ofl,NA
2013,BS,Other rockfish,abc,686
2013,BS,Other rockfish,tac,400
2014,AI,Other rockfish,ofl,NA
2014,AI,Other rockfish,abc,473
2014,AI,Other rockfish,tac,473
2014,BSAI,Other rockfish,ofl,1550
2014,BSAI,Other rockfish,abc,1163
2014,BSAI,Other rockfish,tac,773
2014,BS,Other rockfish,ofl,NA
2014,BS,Other rockfish,abc,690
2014,BS,Other rockfish,tac,300
2015,AI,Other rockfish,ofl,NA
2015,AI,Other rockfish,abc,555
2015,AI,Other rockfish,tac,555
2015,BSAI,Other rockfish,ofl,1667
2015,BSAI,Other rockfish,abc,1250
2015,BSAI,Other rockfish,tac,880
2015,BS,Other rockfish,ofl,NA
2015,BS,Other rockfish,abc,695
2015,BS,Other rockfish,tac,325
2016,BSAI,Other rockfish,ofl,1667
2016,BSAI,Other rockfish,abc,1250
2016,BSAI,Other rockfish,tac,875
2016,AI,Other rockfish,ofl,NA
2016,AI,Other rockfish,abc,555
2016,AI,Other rockfish,tac,550
2016,BS,Other rockfish,ofl,NA
2016,BS,Other rockfish,abc,695
2016,BS,Other rockfish,tac,325
2017,BS,Other rockfish,ofl,NA
2017,BS,Other rockfish,abc,791
2017,BS,Other rockfish,tac,325
2017,BSAI,Other rockfish,ofl,1816
2017,BSAI,Other rockfish,abc,1362
2017,BSAI,Other rockfish,tac,875
2017,AI,Other rockfish,ofl,NA
2017,AI,Other rockfish,abc,571
2017,AI,Other rockfish,tac,550
2018,BSAI,Other rockfish,ofl,1816
2018,BSAI,Other rockfish,abc,1362
2018,BSAI,Other rockfish,tac,845
2018,AI,Other rockfish,ofl,NA
2018,AI,Other rockfish,abc,571
2018,AI,Other rockfish,tac,570
2018,BS,Other rockfish,ofl,NA
2018,BS,Other rockfish,abc,791
2018,BS,Other rockfish,tac,275
2019,AI,Other rockfish,ofl,NA
2019,AI,Other rockfish,abc,388
2019,AI,Other rockfish,tac,388
2019,BS,Other rockfish,ofl,NA
2019,BS,Other rockfish,abc,956
2019,BS,Other rockfish,tac,275
2019,BSAI,Other rockfish,ofl,1793
2019,BSAI,Other rockfish,abc,1344
2019,BSAI,Other rockfish,tac,663
2020,AI,Other rockfish,ofl,NA
2020,AI,Other rockfish,abc,388
2020,AI,Other rockfish,tac,388
2020,BSAI,Other rockfish,ofl,1793
2020,BSAI,Other rockfish,abc,1344
2020,BSAI,Other rockfish,tac,1088
2020,BS,Other rockfish,ofl,NA
2020,BS,Other rockfish,abc,956
2020,BS,Other rockfish,tac,700
2021,BS,Other rockfish,ofl,NA
2021,BS,Other rockfish,abc,919
2021,BS,Other rockfish,tac,522
2021,AI,Other rockfish,ofl,NA
2021,AI,Other rockfish,abc,394
2021,AI,Other rockfish,tac,394
2021,BSAI,Other rockfish,ofl,1751
2021,BSAI,Other rockfish,abc,1313
2021,BSAI,Other rockfish,tac,916
2022,AI,Other rockfish,ofl,NA
2022,AI,Other rockfish,abc,394
2022,AI,Other rockfish,tac,394
2022,BSAI,Other rockfish,ofl,1751
2022,BSAI,Other rockfish,abc,1313
2022,BSAI,Other rockfish,tac,1144
2022,BS,Other rockfish,ofl,NA
2022,BS,Other rockfish,abc,919
2022,BS,Other rockfish,tac,750
2023,BS,Other rockfish,ofl,NA
2023,BS,Other rockfish,abc,880
2023,BS,Other rockfish,tac,880
2023,AI,Other rockfish,ofl,NA
2023,AI,Other rockfish,abc,380
2023,AI,Other rockfish,tac,380
2023,BSAI,Other rockfish,ofl,1680
2023,BSAI,Other rockfish,abc,1260
2023,BSAI,Other rockfish,tac,1260
2024,BSAI,Other rockfish,ofl,1680
2024,BSAI,Other rockfish,abc,1260
2024,BSAI,Other rockfish,tac,1260
2024,AI,Other rockfish,ofl,NA
