survey,group,year,biomass,cv
AI,SST,1991,6152.638749,0.2394217514535466
AI,SST,1994,6243.8057770000005,0.1604738574371117
AI,SST,1997,8894.280424999999,0.1815518439424622
AI,SST,2000,10648.379049000001,0.18617917866844655
AI,SST,2002,14244.130185,0.20396622153827132
AI,SST,2004,17334.723471,0.1909659027670067
AI,SST,2006,17877.810213,0.12151316525105349
AI,SST,2010,18074.850425,0.15952646528961575
AI,SST,2012,14443.365412000001,0.15159053632189803
AI,SST,2014,17610.745512,0.24448610535292054
AI,SST,2016,16541.071128,0.16194060524021897
AI,SST,2018,13215.762994,0.19949406698060757
AI,SST,2022,12936.449865,0.15538438973133065
AI,SST,2024,14239.469377,0.13370374565491897
AI,non-SST,1991,518.481527,0.3603112925940394
AI,non-SST,1994,224.547093,0.5782225115315069
AI,non-SST,1997,643.681814,0.6787738726608759
AI,non-SST,2000,1275.8012569999999,0.33274095316059243
AI,non-SST,2002,558.2022159999999,0.3053898302599355
AI,non-SST,2004,1239.656962,0.41074822751158063
AI,non-SST,2006,6004.992117,0.878931206051054
AI,non-SST,2010,610.784937,0.31311929494048757
AI,non-SST,2012,250.35178000000002,0.3027346402571904
AI,non-SST,2014,5645.195419000001,0.8146393287581878
AI,non-SST,2016,1772.7571280000002,0.32941858445505473
AI,non-SST,2018,914.4588409999999,0.32241475350207427
AI,non-SST,2022,1506.307604,0.48419375030712375
AI,non-SST,2024,1474.808624,0.31059039934225
EBS Shelf,non-SST,1982,4903.666125,0.9972650599162838
EBS Shelf,non-SST,1983,0,NA
EBS Shelf,non-SST,1984,34.423041,0.7073689166160606
EBS Shelf,non-SST,1985,40.483483,0.900814981813887
EBS Shelf,non-SST,1986,21.979509,0.9999999980531095
EBS Shelf,non-SST,1987,48.754058,0.9999999961153367
EBS Shelf,non-SST,1988,0,NA
EBS Shelf,non-SST,1989,0,NA
EBS Shelf,non-SST,1990,369.952706,0.7916466171065173
EBS Shelf,non-SST,1991,850.737084,0.9317848428068765
EBS Shelf,non-SST,1992,173.04476400000001,0.9236437717594377
EBS Shelf,non-SST,1993,86.483344,1.000000005252961
EBS Shelf,non-SST,1994,46.832384,1.0000000024795246
EBS Shelf,non-SST,1995,74.1123,0.7025181464886133
EBS Shelf,non-SST,1996,34.937045999999995,0.999999991313221
EBS Shelf,non-SST,1997,126.841342,1.00000000148051
EBS Shelf,non-SST,1998,527.14962,0.6792859758719441
EBS Shelf,non-SST,1999,389.855174,0.7501787396792301
EBS Shelf,non-SST,2000,0,NA
EBS Shelf,non-SST,2001,0,NA
EBS Shelf,non-SST,2002,0,NA
EBS Shelf,non-SST,2003,54.275890999999994,0.6986555325131948
EBS Shelf,non-SST,2004,0,NA
EBS Shelf,non-SST,2005,36.17341,1.0000000118347463
EBS Shelf,non-SST,2006,351.180065,0.8443852047764436
EBS Shelf,non-SST,2007,0,NA
EBS Shelf,non-SST,2008,0,NA
EBS Shelf,non-SST,2009,119.684291,0.5776318490949823
EBS Shelf,non-SST,2010,56.645318999999994,0.9212679323420285
EBS Shelf,non-SST,2011,54.737254,1.000000008600903
EBS Shelf,non-SST,2012,35.919452,1.0000000062081882
EBS Shelf,non-SST,2013,38.962872999999995,1.000000001181035
EBS Shelf,non-SST,2014,27.699975,1.0000000136841434
EBS Shelf,non-SST,2015,142.328993,1.0000000025078548
EBS Shelf,non-SST,2016,19.974525,0.9999999849922607
EBS Shelf,non-SST,2017,169.560915,0.7273833725600051
EBS Shelf,non-SST,2018,1561.755689,0.6999384509147665
EBS Shelf,non-SST,2019,0,NA
EBS Shelf,non-SST,2021,0,NA
EBS Shelf,non-SST,2022,43.294489,1.0000000096640609
EBS Shelf,non-SST,2023,168.346493,0.9665116881263927
EBS Shelf,non-SST,2024,196.047349,0.6106690362927666
EBS Slope,SST,2002,17201.595291,0.11430916009994159
EBS Slope,SST,2004,19085.046813,0.08871788451765272
EBS Slope,SST,2008,26329.5853,0.12327780741971117
EBS Slope,SST,2010,29676.035773,0.11545259327171205
EBS Slope,SST,2012,29987.046678,0.10536979299658959
EBS Slope,SST,2016,36448.06943,0.11343334891845354
EBS Slope,non-SST,2002,37.689716,0.4208303453245748
EBS Slope,non-SST,2004,31.850890999999997,0.34594861045633596
EBS Slope,non-SST,2008,27.422995999999998,0.45100571500694975
EBS Slope,non-SST,2010,147.207739,0.7017610165004651
EBS Slope,non-SST,2012,51.905772999999996,0.49036062064066266
EBS Slope,non-SST,2016,30.543891,0.333892515085799
SBS,SST,1991,187.418743,0.5777550509866437
SBS,SST,1994,1070.758024,0.5198391914673373
SBS,SST,1997,1545.123565,0.6850212272383475
SBS,SST,2000,1051.291211,0.4761392131828862
SBS,SST,2002,1012.064029,0.4050377779966505
SBS,SST,2004,945.431311,0.5556342195190361
SBS,SST,2006,967.9205939999999,0.5483178408607834
SBS,SST,2010,1052.357653,0.7325419224174746
SBS,SST,2012,451.765782,0.767765042255114
SBS,SST,2014,2567.230684,0.6692348799781777
SBS,SST,2016,1607.418754,0.534776376736734
SBS,SST,2018,1604.757477,0.6821029126024709
SBS,SST,2022,1277.594409,0.7453733419602795
SBS,SST,2024,381.70968800000003,0.6579867442480475
SBS,non-SST,1991,61.219798,0.8287285220285185
SBS,non-SST,1994,101.177506,0.4860052896846764
SBS,non-SST,1997,138.283975,0.4567961140955204
SBS,non-SST,2000,55.526953,0.35608665598455336
SBS,non-SST,2002,99.127471,0.35604971372013716
SBS,non-SST,2004,5529.768403,0.7814395027286067
SBS,non-SST,2006,738.318805,0.9537125121392521
SBS,non-SST,2010,120.05040199999999,0.44443885555882856
SBS,non-SST,2012,134.628716,0.5727821968574393
SBS,non-SST,2014,232.269369,0.5018098514965347
SBS,non-SST,2016,217.84096399999999,0.5395841602547933
SBS,non-SST,2018,1639.304119,0.7727158900094806
SBS,non-SST,2022,298.866352,0.39306898785278693
SBS,non-SST,2024,1972.579376,0.530169742381738
