year,AI,EBS Slope,SBS
1982,NA,NA,NA
1983,NA,NA,NA
1984,NA,NA,NA
1985,NA,NA,NA
1986,NA,NA,NA
1987,NA,NA,NA
1988,NA,NA,NA
1989,NA,NA,NA
1990,NA,NA,NA
1991,"6,153 (0.24)",NA,187 (0.58)
1992,NA,NA,NA
1993,NA,NA,NA
1994,"6,244 (0.16)",NA,"1,071 (0.52)"
1995,NA,NA,NA
1996,NA,NA,NA
1997,"8,894 (0.18)",NA,"1,545 (0.69)"
1998,NA,NA,NA
1999,NA,NA,NA
2000,"10,648 (0.19)",NA,"1,051 (0.48)"
2001,NA,NA,NA
2002,"14,244 (0.2)","17,202 (0.11)","1,012 (0.41)"
2003,NA,NA,NA
2004,"17,335 (0.19)","19,085 (0.09)",945 (0.56)
2005,NA,NA,NA
2006,"17,878 (0.12)",NA,968 (0.55)
2007,NA,NA,NA
2008,NA,"26,330 (0.12)",NA
2009,NA,NA,NA
2010,"18,075 (0.16)","29,676 (0.12)","1,052 (0.73)"
2011,NA,NA,NA
2012,"14,443 (0.15)","29,987 (0.11)",452 (0.77)
2013,NA,NA,NA
2014,"17,611 (0.24)",NA,"2,567 (0.67)"
2015,NA,NA,NA
2016,"16,541 (0.16)","36,448 (0.11)","1,607 (0.53)"
2017,NA,NA,NA
2018,"13,216 (0.2)",NA,"1,605 (0.68)"
2019,NA,NA,NA
2020,NA,NA,NA
2021,NA,NA,NA
2022,"12,936 (0.16)",NA,"1,278 (0.75)"
2023,NA,NA,NA
2024,"14,239 (0.13)",NA,382 (0.66)
